AE 771 — Nozzle Coordinates
==========================================

RAO NOZZLE
------------------------------------------
      x (in)        y (in)       -y (in)
   34.237259     21.730537    -21.730537
   34.780356     21.930597    -21.930597
   35.326738     22.130656    -22.130656
   35.876406     22.330716    -22.330716
   36.429358     22.530775    -22.530775
   36.985595     22.730834    -22.730834
   37.545118     22.930894    -22.930894
   38.107926     23.130953    -23.130953
   38.674019     23.331013    -23.331013
   39.243397     23.531072    -23.531072
   39.816060     23.731132    -23.731132
   40.392008     23.931191    -23.931191
   40.971242     24.131251    -24.131251
   41.553760     24.331310    -24.331310
   42.139564     24.531370    -24.531370
   42.728653     24.731429    -24.731429
   43.321027     24.931488    -24.931488
   43.916686     25.131548    -25.131548
   44.515630     25.331607    -25.331607
   45.117859     25.531667    -25.531667
   45.723374     25.731726    -25.731726
   46.332174     25.931786    -25.931786
   46.944258     26.131845    -26.131845
   47.559628     26.331905    -26.331905
   48.178283     26.531964    -26.531964
   48.800224     26.732024    -26.732024
   49.425449     26.932083    -26.932083
   50.053960     27.132143    -27.132143
   50.685755     27.332202    -27.332202
   51.320836     27.532261    -27.532261
   51.959202     27.732321    -27.732321
   52.600853     27.932380    -27.932380
   53.245789     28.132440    -28.132440
   53.894010     28.332499    -28.332499
   54.545517     28.532559    -28.532559
   55.200308     28.732618    -28.732618
   55.858385     28.932678    -28.932678
   56.519747     29.132737    -29.132737
   57.184394     29.332797    -29.332797
   57.852326     29.532856    -29.532856
   58.523544     29.732916    -29.732916
   59.198046     29.932975    -29.932975
   59.875833     30.133034    -30.133034
   60.556906     30.333094    -30.333094
   61.241264     30.533153    -30.533153
   61.928907     30.733213    -30.733213
   62.619835     30.933272    -30.933272
   63.314048     31.133332    -31.133332
   64.011547     31.333391    -31.333391
   64.712330     31.533451    -31.533451
   65.416399     31.733510    -31.733510
   66.123753     31.933570    -31.933570
   66.834392     32.133629    -32.133629
   67.548316     32.333689    -32.333689
   68.265525     32.533748    -32.533748
   68.986019     32.733807    -32.733807
   69.709799     32.933867    -32.933867
   70.436863     33.133926    -33.133926
   71.167213     33.333986    -33.333986
   71.900848     33.534045    -33.534045
   72.637768     33.734105    -33.734105
   73.377973     33.934164    -33.934164
   74.121464     34.134224    -34.134224
   74.868239     34.334283    -34.334283
   75.618300     34.534343    -34.534343
   76.371645     34.734402    -34.734402
   77.128276     34.934461    -34.934461
   77.888192     35.134521    -35.134521
   78.651393     35.334580    -35.334580
   79.417880     35.534640    -35.534640
   80.187651     35.734699    -35.734699
   80.960707     35.934759    -35.934759
   81.737049     36.134818    -36.134818
   82.516676     36.334878    -36.334878
   83.299588     36.534937    -36.534937
   84.085785     36.734997    -36.734997
   84.875267     36.935056    -36.935056
   85.668035     37.135116    -37.135116
   86.464087     37.335175    -37.335175
   87.263425     37.535234    -37.535234
   88.066048     37.735294    -37.735294
   88.871955     37.935353    -37.935353
